0,30,5.05.02,Bonificaciones sobre ventas en territorio extranjero (exportación),3,3,1
0,31,5.06.01,Descuentos sobre ventas en territorio nacional,3,3,1
0,31,5.06.02,Descuentos sobre ventas en territorio extranjero (exportación),3,3,1
0,32,5.07.01,Costo de ventas de productos terminados,3,3,1
0,32,5.07.02,Costo de ventas de mercancías,3,3,1
0,33,5.08.01,Sueldos normales (personal del área de ventas),3,3,1
0,33,5.08.02,Prestaciones normales (personal del área de ventas),3,3,1
0,33,5.08.03,Comisiones,3,3,1
0,34,5.09.01,Sueldos normales (personal administrativo),3,3,1
0,34,5.09.02,Prestaciones normales (personal administrativo),3,3,1
0,34,5.09.03,Impuestos y aportaciones patronales (personal administrativo),3,3,1
0,35,5.10.01,Comisiones bancarias,3,3,1
0,35,5.10.02,Intereses pagados a compañías del grupo,3,3,1
0,35,5.10.03,Intereses pagados a terceros,3,3,1
0,36,5.11.01,Otros gastos extraordinarios,3,3,1
0,36,5.11.02,Otros gastos diversos,3,3,1
0,37,5.12.01,Impuestos causados,3,3,1
